ticker,comnam,siccd,gics_l2,r2,similarity,rank,weight_eq,weight_sim,weight_nnls,theme,etf
LII,LENNOX INTERNATIONAL INC,3585,2010.0,0.3377426442566228,0.9798153568639334,15,0.04,0.03989024615672665,0.0,Bio-Economy & Longevity,AGNG
PTC,P T C INC,7372,4510.0,0.4929384690983053,0.9777120863824708,16,0.04,0.039804617801698354,0.0,Bio-Economy & Longevity,AGNG
DASH,DOORDASH INC,5963,2550.0,0.5521129437843415,0.9768219906361056,17,0.04,0.03976838022063083,0.2152519851722021,Bio-Economy & Longevity,AGNG
CTLT,CATALENT INC,2834,3520.0,0.3472858548692389,0.9762374824065442,18,0.04,0.03974458371959163,0.16121200645210942,Bio-Economy & Longevity,AGNG
HEI,HEICO CORP NEW,3724,2010.0,0.40025112302418653,0.9759675733641466,19,0.04,0.03973359518173525,0.0,Bio-Economy & Longevity,AGNG
LSTR,LANDSTAR SYSTEM INC,4210,2030.0,0.2783788175903146,0.9758289651655553,20,0.04,0.039727952164280565,0.0,Bio-Economy & Longevity,AGNG
MANH,MANHATTAN ASSOCIATES INC,7370,4510.0,0.2374007611088238,0.9743018602124955,21,0.04,0.03966578066221339,0.2269325691251769,Bio-Economy & Longevity,AGNG
Z,ZILLOW GROUP INC,9999,2020.0,0.30016017235310544,0.974281114179549,22,0.04,0.039664936049649185,0.0,Bio-Economy & Longevity,AGNG
CHDN,CHURCHILL DOWNS INC,7940,2550.0,0.21493229922683954,0.9740436280993998,23,0.04,0.039655267515542644,0.0,Bio-Economy & Longevity,AGNG
IEX,IDEX CORP,3561,2010.0,0.5492724789825201,0.9732821734797921,24,0.04,0.03962426717246725,0.0,Bio-Economy & Longevity,AGNG
TTEK,TETRA TECH INC,8710,4510.0,0.31490461136776227,0.9728064974265614,25,0.04,0.03960490144736271,0.0,Bio-Economy & Longevity,AGNG
CHDN,CHURCHILL DOWNS INC,7940,2550.0,0.21493229922683954,0.9993696447719719,1,0.04,0.040560259720683826,0.0,Defence & Security,FITE
IEX,IDEX CORP,3561,2010.0,0.5492724789825201,0.9978950701756669,2,0.04,0.04050041286730326,0.0,Defence & Security,FITE
IAC,IAC INC,4833,5010.0,0.22845123026874492,0.9962592476661869,3,0.04,0.04043402163139916,0.0,Defence & Security,FITE
MANH,MANHATTAN ASSOCIATES INC,7370,4510.0,0.2374007611088238,0.9941316247923977,4,0.04,0.0403476702630141,0.0,Defence & Security,FITE
GTLS,CHART INDUSTRIES INC,3443,2010.0,0.33501075845823625,0.9913343641344826,5,0.04,0.040234141080508885,0.43237599213414785,Defence & Security,FITE
SYNH,SYNEOS HEALTH INC,9999,2020.0,0.17805434702428724,0.9906135971180563,6,0.04,0.04020488814338268,0.038697282259797405,Defence & Security,FITE
APO,APOLLO GLOBAL MANAGEMENT INC NEW,6282,4020.0,0.34918584005466125,0.9903812452566979,7,0.04,0.04019545794716591,0.0,Defence & Security,FITE
AZPN,ASPEN TECHNOLOGY INC,7372,4510.0,0.3072522576432286,0.9898890034269727,8,0.04,0.04017547989743878,0.0,Defence & Security,FITE
GDDY,GODADDY INC,7373,4510.0,0.31182857714054546,0.9860920147216502,9,0.04,0.04002137590913971,0.0,Defence & Security,FITE
IBKR,INTERACTIVE BROKERS GROUP INC,6211,4020.0,0.2094388951969991,0.9845756519478331,10,0.04,0.03995983304733823,0.0,Defence & Security,FITE
SQ,BLOCK INC,7372,4510.0,0.5376897573738998,0.9840729162945483,11,0.04,0.03993942909693334,0.08414921954601207,Defence & Security,FITE
WEN,WENDYS CO,5812,2550.0,0.1418823586547826,0.9839552755834471,12,0.04,0.0399346545494764,0.0,Defence & Security,FITE
VMW,VMWARE INC,7372,4510.0,0.20743842507168986,0.9831524577749812,13,0.04,0.039902071511768465,0.38737015394040064,Defence & Security,FITE
NUAN,NUANCE COMMUNICATIONS INC,7372,4510.0,0.3107671829254235,0.9821646493245454,14,0.04,0.03986198047286854,0.05740735211964204,Defence & Security,FITE
ALGM,ALLEGRO MICROSYSTEMS INC,9999,2020.0,0.5593380439016213,0.9817606266500236,15,0.04,0.03984558287194342,0.0,Defence & Security,FITE
OMF,ONEMAIN HOLDINGS INC,6141,4020.0,0.3559590638122003,0.981541781900929,16,0.04,0.039836700873267336,0.0,Defence & Security,FITE
XLS,EXELIS INC,3812,2010.0,0.29635601911033704,0.98146294879753,17,0.04,0.039833501365292304,0.0,Defence & Security,FITE
LSCC,LATTICE SEMICONDUCTOR CORP,3670,4530.0,0.5578038023345152,0.9813083349130322,18,0.04,0.039827226230416575,0.0,Defence & Security,FITE
HEI,HEICO CORP NEW,3724,2010.0,0.40958608708399746,0.9807179689193795,19,0.04,0.03980326572875627,0.0,Defence & Security,FITE
ODFL,OLD DOMINION FREIGHT LINE INC,4210,2030.0,0.39667008655310165,0.9805948174156455,20,0.04,0.039798267521133524,0.0,Defence & Security,FITE
EHC,ENCOMPASS HEALTH CORP,8069,3510.0,0.24855173084294013,0.9804200178477669,21,0.04,0.039791173133276826,0.0,Defence & Security,FITE
USM,UNITED STATES CELLULAR CORP,4812,5010.0,0.2124016073421069,0.9800912187373775,22,0.04,0.03977782854413197,0.0,Defence & Security,FITE
MSA,M S A SAFETY INC,3842,3510.0,0.3142462788038545,0.9793285918150743,23,0.04,0.03974687668742868,0.0,Defence & Security,FITE
BRKR,BRUKER CORP,3826,2010.0,0.23213929780422016,0.97905672619815,24,0.04,0.03973584279212351,0.0,Defence & Security,FITE
WSO,WATSCO INC,5075,2020.0,0.3088999392727644,0.978963475004749,25,0.04,0.039732058113808144,0.0,Defence & Security,FITE
